번호,공개번호,제목,쟁점_분야,관련_기준서,결정년도,ntt_id,atch_file_id,pdf_filename,beneish_score,tier
154,FSS/2206-10,내재파생상품 분리 회계처리 누락/파생상품부채 평가 누락,내재파생상품 분리 및 파생상품부채 평가 누락,일반기업회계기준 제6장,2021,56111,63b94ff17d70496a93ee2c28934ff366,FSS2206-10.pdf,4,2
153,FSS/2206-09,사업결합 관련 무형자산 과대계상,사업결합 무형자산,기업회계기준서 제1038호,2021,56110,abf63f5486094b07b583592667469f12,FSS2206-09.pdf,6,2
152,FSS/2206-08,유형자산 허위계상,유형자산 허위계상,일반기업회계기준 제2장(재무제표의 작성과 표시),2021,56109,f7c0f9e572634f2899ff814f3b5ad52f,FSS2206-08.pdf,6,2
151,FSS/2206-07,재고자산 과대계상,재고자산,기업회계기준서 제1002호,2021,56108,009df5695c194c11b4ee6e4bab8fe5f4,FSS2206-07.pdf,8,1
150,FSS/2206-06,지분법적용투자주식 과대계상,지분법적용투자주식,舊 기업회계기준서 제15호,2021,56107,784ccaf4dc3b411e9ef5c7d5a1d4ef03,FSS2206-06.pdf,2,3
149,FSS/2206-05,관계기업투자주식 과대계상,관계기업투자주식,기업회계기준서 제1028호,2021,56106,41cc67b512154e1f9fafd8ab11552b81,FSS2206-05.pdf,3,3
148,FSS/2206-04,매출 허위계상 등,매출 및 매출원가,기업회계기준서 제1018호,2021,56103,b9907b9e4d8b40f5b4ea6c876133f1ba,FSS2206-04.pdf,9,1
147,FSS/2206-03,진행률 산정 오류로 인한 매출 과대계상,수익인식,"舊 기업회계기준서 제1011호, 舊 기업회계기준서 제1018호",2021,56099,62c08fec0bdf40babb5820796863677e,FSS2206-03.pdf,9,1
146,FSS/2206-02,대리점 임의반출을 통한 매출액 및 매출원가 과대계상,매출 및 매출원가,"舊 기업회계기준서 제 1018호, 기업회계기준서 제1115호",2021,56097,f33d6fde0cf64c9f9765bd26bb7e20a3,FSS2206-02.pdf,9,1
145,FSS/2206-01,매출 및 매출원가 허위계상,매출 및 매출원가,기업회계기준서 제 1018호,2021,56095,9c56031bd88d4689b726e467519db509,FSS2206-01.pdf,9,1
144,FSS/2112-27,자산수증이익 허위계상,자산수증이익,기업회계기준서 제1001호,2012,51480,912b9dab0d7501e0d8cc6acc35419c2b,FSS2112_27.pdf,1,3
143,FSS/2112-26,자산수증이익 허위계상,자산수증이익 허위계상,기업회계기준서 제1001호,2012,51479,bce8a3552b1a2747eac1567b066b567b,FSS2112_26.pdf,5,2
142,FSS/2112-25,자기주식 허위계상,자기주식,기업회계기준서 제1001호,2013,51478,703648cbc956c02d6a4e8803ce0322dd,FSS2112_25.pdf,1,3
141,FSS/2112-24,담보제공사실 주석미기재,담보제공 주석기재,"기업회계기준서 제1016호, 1107호",2014,51477,25b036486c977a00ce2e2a5e1730ebc4,FSS2112_24.pdf,1,3
140,FSS/2112-23,담보제공사실 주석미기재,특수관계자거래 주석기재,기업회계기준서 제1024호,2013,51476,63643b2e276cb1d864764a6cace31ea3,FSS2112_23.pdf,1,3
139,FSS/2112-22,특수관계자거래 주석미기재,특수관계자거래 주석기재,기업회계기준서 제1024호,2013,51475,acaa5626eb19058494bc27b613bb6e31,FSS2112_22.pdf,1,3
138,FSS/2112-21,특수관계자거래 주석미기재,특수관계자거래 주석기재,기업회계기준서 제1024호,2014,51474,864ac8326e24340e6596abeed9d0dda0,FSS2112_21.pdf,1,3
137,FSS/2112-20,연결재무제표상 매출채권 및 매입채무 미상계,연결재무제표 작성,기업회계기준서 제1027호,2014,51473,1a08d75d737ecb20008c6a59d394168b,FSS2112_20.pdf,1,3
136,FSS/2112-19,연결재무제표상 자산・부채 미상계,매출채권,기업회계기준서 제1027호,2012,51472,a86c41e3ad6bc525a3637620d5cc0064,FSS2112_19.pdf,6,2
135,FSS/2112-18,선수금 미계상,선수금,기업회계기준서 제1001호,2012,51471,a1a6717187424b7239bb178b5c954e75,FSS2112_18.pdf,1,3
134,FSS/2112-17,우발부채 주석미기재,우발부채,기업회계기준서 제1037호,2012,51470,945e3521a9ce429c939361c0216a2ec5,FSS2112_17.pdf,3,3
133,FSS/2112-16,대여금 대손충당금 과소계상,대여금에 대한 대송충당금,기업회계기준서 제1039호,2014,51469,721e5244b5ab32e56e94d11a8ee74ea8,FSS2112_16.pdf,1,3
132,FSS/2112-15,대여금 허위계상,대여금,기업회계기준서 제1001호,2011,51468,3d6a1e080725800c54d0a133698455e2,FSS2112_15.pdf,1,3
131,FSS/2112-14,단기대여금 허위계상,단기대여금,기업회계기준서 제1001호,2012,51467,249ea871d9a5d62b3335222102099bcd,FSS2112_14.pdf,1,3
130,FSS/2112-13,선급금 허위계상,선급금,기업회계기준서 제1001호 및 1036호,2014,51466,7d16a1c9ae37086e96cc72d39218d7e2,FSS2112_13.pdf,5,2
129,FSS/2112-12,무형자산(회원권) 과대계상,무형자산의 손상,기업회계기준서 제1036호 및 1038호,2014,51465,1baabd41a43338bc5e5255e22c65c03d,FSS2112_12.pdf,5,2
128,FSS/2112-11,미지급법인세 미계상,미지급법인세,기업회계기준서 제1001호 및 1012호,2013,51464,dadd327b21432c3340edd2010684bc31,FSS2112_11.pdf,1,3
127,FSS/2112-10,자산・부채 과소계상,자산(투자주식)・부채(회사채),기업회계기준서 제1001호,2012,51463,0a469d46c939a6088a9660d9be7893a3,FSS2112_10.pdf,3,3
126,FSS/2112-09,선급금 과대계상,선급금,기업회계기준서 제1001호,2011,51462,a045856d3be0a47a273c2515eaa1e3bc,FSS2112_09.pdf,4,2
125,FSS/2112-08,매도가능증권 과소계상,매도가능증권,기업회계기준서 제1039호,2012,51461,97cbdab7ba25accbe5a046b98a09623a,FSS2112_08.pdf,1,3
124,FSS-2112-07,파생상품부채 미계상,파생상품부채,기업회계기준서 제1039호,2014,51460,a969b89d19eeb11b402c75bede35dd85,FSS_2112_07.pdf,3,3
123,FSS/2112-06,파생상품자산 미계상,파생상품자산,기업회계기준서 제1039호,2014,51459,dd4ccd321e5dc37630a3d5e4606c30e8,FSS2112_06.pdf,1,3
122,FSS/2112-05,관계회사에 대한 지분법 미적용,관계회사투자주식,기업회계기준서 제1028호,2013,51458,b436d692abb78a13b35036c071c0ec6c,FSS2112_05.pdf,1,3
121,FSS/2112-04,매출채권 과대계상,매출채권,기업회계기준서 제1039호,2011,51457,6761064708ace531753d522390aa077d,FSS2112_04.pdf,6,2
120,FSS/2112-03,매출채권 대손충당금 과소계상,매출채권,기업회계기준서 제1039호,2013,51456,73020e3d74d16622211e726ea6e79049,FSS2112_03.pdf,6,2
119,FSS/2112-02,매출・매입 등 허위계상,매출,기업회계기준서 제1018호,2014,51455,042a1741136310350aa86831e63462b2,FSS2112_02.pdf,8,1
118,FSS/2112-01,매출 허위계상,매출,기업회계기준서 제1018호,2013,51454,7ea4ce2b9002050d61b398b16d3d7eab,FSS2112_01.pdf,8,1
117,FSS/2106-15,특수관계자거래 주석미기재,특수관계자거래 주석기재,기업회계기준서 제1024호,2020,51453,ec009a420c7e7d1a9b1bad764067ea6d,FSS2106_15.pdf,2,3
116,FSS/2106-14,"종속기업 영업이익 과소, 과대계상",연결재무제표 작성,기업회계기준서 제1001호,2020,51452,51e8445cd9dbb856e2aa5cb8130c3949,FSS2106_14.pdf,2,3
115,FSS/2106-13,매출채권 허위계상,매출채권,"기업회계기준서 제1032호, 제1039호",2020,51451,b91965854dc6b45746eb2d7ab6155c1e,FSS2106_13.pdf,7,1
114,FSS/2106-12,파생상품부채 미계상,파생상품부채,기업회계기준서 제1039호,2020,51450,7331dd702be41db07eb7063c273e7641,FSS2106_12.pdf,4,2
113,FSS/2106-11,파생상품자산 과소계상,파생상품자산,기업회계기준서 제1039호,2020,51449,cddb3cb99760b7c728e84d84e496aaaa,FSS2106_11.pdf,2,3
112,FSS/2106-10,대여금 허위계상,대여금,기업회계기준서 제1001호,2020,51448,b4a5a8514ad1cb6c319bd602423d2e89,FSS2106_10.pdf,2,3
111,FSS/2106-09,선급금 허위계상,선급금,"기업회계기준서 제1001호, 제1036호",2020,51447,80a38e60d34584917d1d53d2947e5388,FSS2106_09.pdf,6,2
110,FSS/2106-08,유형자산 허위계상,유형자산,기업회계기준서 제1001호 및 제1016호,2020,51446,c45b8aaa0b96bb242068782554ea697c,FSS2106_08.pdf,5,2
109,FSS/2106-07,관계기업투자주식 손상차손 미인식,관계기업투자주식,기업회계기준서 제1028호 및 제1036호,2020,51445,7ec54a8e039dad3a029d8c14d6786b07,FSS2106_07.pdf,4,2
108,FSS/2106-06,종속기업투자주식 과소계상,종속기업투자주식,기업회계기준서 제1036호,2020,51444,e70ab73612041791c3da052b16687dd4,FSS2106_06.pdf,4,2
107,FSS/2106-05,종속기업투자주식 손상차손 미인식,종속기업투자주식,기업회계기준서 제1036호,2020,51443,259616764847e83ced2218628bce7167,FSS2106_05.pdf,4,2
106,FSS/2106-04,"수익인식(총액, 순액) 오류",매출 및 매출원가,舊 기업회계기준서 제1018호,2020,51442,09a15e2649c884ec18d7584b1d0a97ee,FSS2106_04.pdf,9,1
105,FSS/2106-03,매출 허위계상,매출,舊 기업회계기준서 제1018호,2020,51441,0ad5d134e79811411abbd996b60ab849,FSS2106_03.pdf,9,1
104,FSS/2106-02,예정원가 오류로 인한 매출원가 과소계상,매출원가,舊 기업회계기준서 제1011호,2020,51440,b59d119785b524bc6ce3670ca6c18adc,FSS2106_02.pdf,9,1
103,FSS/2106-01,매출 및 매출원가 허위계상,매출 및 매출원가,舊 기업회계기준서 제1018호,2020,51439,2694c2110a103c6aa8b46c4794b7459b,FSS2106_01.pdf,9,1
102,FSS/2008-34,자회사의 회계처리 위반에 따른 연결재무제표 자본 과대계상,연결재무제표 작성,舊 기업회계기준서 제1027호,2017,51438,5b319a2194a40d076d4b14c01c19c938,FSS2008_34.pdf,1,3
101,FSS/2008-33,전환상환우선주 관련 계정분류 오류,전환상환우선주,기업회계기준서 제1039호,2017,51437,46e5a668b4ea068622b442deb4abae65,FSS2008_33.pdf,1,3
100,FSS/2008-32,연결대상 종속회사 누락,연결범위,舊 기업회계기준서 제1027호,2015,51436,da468ce50bdb08210668065a10043d00,FSS2008_32.pdf,1,3
99,FSS/2008-31,연결매출액 및 매출원가 과대계상,연결재무제표 작성,舊 기업회계기준서 제1027호,2015,51435,354d041b2818cd708053a6466aa24db3,FSS2008_31.pdf,1,3
98,FSS/2008-30,유형자산 담보제공사실 등 주석 기재 오류,주석 기재 오류,기업회계기준서 제1016호,2017,51434,c6973abc076663a23795e1118e03d92e,FSS2008_30.pdf,1,3
97,FSS/2008-29,유무형자산 권리제한 사실 미기재,주석 미기재,"기업회계기준서 제1016호, 제 1038호",2017,51433,b4815a90253892007aebe4ce4c4e31e3,FSS2008_29.pdf,2,3
96,FSS/2008-28,유형자산 주석 과소기재,주석 미기재,기업회계기준서 제1016호,2016,51432,e9ec27916131ae02d3129dd00ad7cb7d,FSS2008_28.pdf,1,3
95,FSS/2008-27,지급수수료/차입금 과소계상,지급수수료 및 차입금 과소계상,기업회계기준서 제1001호,2017,51431,db105b49e15bdd188121ca1d139c206c,FSS2008_27.pdf,1,3
94,FSS/2008-26,대여금 계정분류 오류,대여금 분류,일반기업회계기준 제16장,2017,51430,43287326d38d652e25b72cc78c104dc0,FSS2008_26.pdf,1,3
93,FSS/2008-25,저축은행의 대출채권 대손충당금 설정 오류,저축은행의 대출채권 대손충당금 설정 오류,일반기업회계기준 제6장,2015,51429,15861403a987829dbb8648a15349d0d8,FSS2008_25.pdf,5,2
92,FSS/2008-24,소송관련 충당부채 과소계상,충당부채 인식,기업회계기준서 제1037호,2016,51428,4880e54e1bac9583b92a2824b0503842,FSS2008_24.pdf,3,3
91,FSS/2008-23,장기성 매출채권에 대한 대손충당금 과소계상,대손충당금,"기업회계기준서 제1039호, 제1008호",2017,51427,c2a6bd97d4d97d5ba3c8b197695e35dc,FSS2008_23.pdf,5,2
90,FSS/2008-22,골프회원권 손상차손 미인식,골프회원권 손상,일반기업회계기준 제20장,2015,51426,de6e73d27eaa622ea39144b436b4291a,FSS2008_22.pdf,1,3
89,FSS/2008-21,비업무용 부동산 과대계상,비업무용 부동산 손상,일반기업회계기준 제20장,2016,51425,2a4421dbc2e8ed6dbbec05e9271720b5,FSS2008_21.pdf,1,3
88,FSS/2008-20,유형자산(건설중인자산) 및 미수금 허위계상,유형자산 및 미수금,재무회계개념체계,2018,51424,622462a93291c5524402b8b32e4b0e41,FSS2008_20.pdf,5,2
87,FSS/2008-19,파생상품평가이익 과소계상,파생상품,기업회계기준서 제1039호,2016,51423,aa37a958ae80de63798ca87486bc069a,FSS2008_19.pdf,1,3
86,FSS/2008-18,파생금융부채 미계상,파생금융부채,기업회계기준서 제1039호,2020,51422,3e7aee8cb365b2e1becbad896ca7a42b,FSS2008_18.pdf,4,2
85,FSS/2008-17,파생상품평가손실 과소계상,파생상품,기업회계기준서 제1039호,2017,51421,a42d0e928cc197e95d21a012d2ab7aae,FSS2008_17.pdf,1,3
84,FSS/2008-16,매도가능금융자산 손상차손 미인식,매도가능금융자산 손상차손,기업회계기준서 제1039호,2017,51420,6e50acd34ec890554d54a425bdca1ac6,FSS2008_16.pdf,4,2
83,FSS/2008-15,종속기업투자주식(영업권) 과대계상,종속기업투자주식(영업권),기업회계기준서 제1036호,2016,51419,035e4ac00bd13305d8036919477c66cb,FSS2008_15.pdf,3,3
82,FSS/2008-14,지분법적용투자주식 과소계상,지분법 회계처리,일반기업회계기준 제8장,2017,51418,eebb0263e1c241ab1cd15beb77c8d0da,FSS2008_14.pdf,1,3
81,FSS/2008-13,재고자산 허위계상,재고자산,기업회계기준서 제1002호,2017,51417,1a225dd0bd6e58667b6a4529ac4a301d,FSS2008_13.pdf,7,1
80,FSS/2008-12,공사진행률 산정 오류,수익인식,기업회계기준서 제1011호,2017,51416,5562d46cb4b9513571adba943462be94,FSS2008_12.pdf,8,1
79,FSS/2008-11,공사수익 오류,공사수익 인식,기업회계기준서 제1011호,2016,51415,5c3e322aea403171362c8450e617e9bd,FSS2008_11.pdf,3,3
78,FSS/2008-10,수익(매출) 기간귀속 오류,수익(매출) 기간귀속,일반기업회계기준 제16장,2017,51414,dd7327427826db1ac10a549220ed4758,FSS2008_10.pdf,6,2
77,FSS/2008-09,공사수익 과대계상,공사수익 과대계상,舊 기업회계기준서 제1011호,2016,51413,ce9760c2a650bbc0368c160c42666493,FSS2008_09.pdf,3,3
76,FSS/2008-08,공사수익·원가 등 과대·과소계상,공사수익 및 공사원가,"기업회계기준서 제1011호, 제1039호",2016,51412,5d93c70d5e4eb2926022a2e076738e4b,FSS2008_08.pdf,3,3
75,FSS/2008-07,공사수익 및 공사원가 인식 오류,건설계약,"기업회계기준서 제1001호, 제1011호",2016,51411,642119646e45aeeebb25381a82361e7e,FSS2008_07.pdf,3,3
74,FSS/2008-06,공사수익 및 공사원가 인식 오류,매출/매출원가,기업회계기준서 제1011호,2017,51410,19960434a286a0ec370a56ee7ac1c128,FSS2008_06.pdf,8,1
73,FSS/2008-05,공사 관련 매출 및 매출원가 과소계상,매출 및 매출원가,기업회계기준서 제1101호,2017,51409,c1272c50659eee684d2753332585d0a1,FSS2008_05.pdf,6,2
72,FSS/2008-04,매출채권 및 차입금 과소계상,매출채권,기업회계기준서 제1002호,2017,51408,ab0e0bbe307232e3c5897b867558413a,FSS2008_04.pdf,8,1
71,FSS/2008-03,매출 및 매출원가 기간귀속 오류,매출·매출채권,기업회계기준서 제1018호,2017,51407,a80b897601126616b6d6ab03ae48099c,FSS2008_03.pdf,8,1
70,FSS/2008-02,매출 과대 및 매출원가 과소계상,총 예정원가 과소계상,기업회계기준서 제1011호,2017,51406,b483a4d412b36645d2d4bc176661daa5,FSS2008_02.pdf,3,3
69,FSS/2008-01,매출액 및 매출원가 과대계상 등,매출 및 매출원가,기업회계기준서 제1018호,2016,51405,4d367ed370a8130a659d3b2a5adcd213,FSS2008_01.pdf,8,1
68,FSS/1912-29,매각예정비유동자산의 계정분류 오류,매각예정비유동자산의 계정분류,기업회계기준서 제1105호,2019,51404,3e8996bae81b82b2b54b47e476242655,FSS1912_29.pdf,2,3
67,FSS/1912-28,영업활동현금흐름 과소 및 과대계상,영업활동현금흐름,기업회계기준서 제1007호,2019,51403,019ae2bb8c83d4c48836e708cc65c6e1,FSS1912_28.pdf,2,3
66,FSS/1912-27,전환사채 유동성 분류,전환사채,기업회계기준서 제1001호,2019,51402,e11d658103aa488cd4b1a74d9aa7d6dd,FSS1912_27.pdf,2,3
65,FSS/1912-26,전환사채 등 유동성 분류 오류,유동성 분류,기업회계기준서 제1001호,2019,51401,0cdb6e0285ec13b24d4ca01a7879ad97,FSS1912_26.pdf,2,3
64,FSS/1912-25,연결범위 오류,연결범위,"기업회계기준서 제1011호, 舊 기업회계기준서 제1027호, 1031호",2018,51400,a7b60d247e6bba3aab2e129100c09ba5,FSS1912_25.pdf,4,2
